seed,cum_strategy_ret,cum_spy_ret,strategy_sharpe,spy_sharpe,max_drawdown,avg_size_mult
42,1.213342,2.59919,0.9237,0.8374,-0.138867,0.6864
7,1.1378,2.59919,0.8777,0.8374,-0.152757,0.6894
99,1.135155,2.59919,0.8761,0.8374,-0.152781,0.6896
123,1.215105,2.59919,0.9348,0.8374,-0.138861,0.6826
2026,1.223442,2.59919,0.9287,0.8374,-0.138861,0.6866
