seed,cum_strategy_ret,cum_spy_ret,strategy_sharpe,spy_sharpe,max_drawdown,avg_size_mult
42,0.78072,2.618353,0.7968,0.8409,-0.130401,0.5064
7,0.738478,2.618353,0.7629,0.8409,-0.130401,0.5049
99,0.748833,2.618353,0.7712,0.8409,-0.130401,0.5048
123,0.75175,2.618353,0.7734,0.8409,-0.130401,0.5045
2026,0.777937,2.618353,0.7933,0.8409,-0.130401,0.5078
