label,n_days,mean_fwd_20d,neg_rate_fwd_20d,uncond_mean_20d,uncond_neg_rate,hit_rate_sign_match,conditional_sharpe,size_mult
BEAR_TREND,436,0.024242,0.2821,0.012342,0.3014,0.2821,1.5601,0.5
BULL_TREND,587,0.007249,0.297,0.012342,0.3014,0.6814,0.5378,1.0
CRISIS,51,0.061493,0.1569,0.012342,0.3014,,2.34,0.0
RANGE_LOW_VOL,830,0.008494,0.3151,0.012342,0.3014,,1.0663,0.75
VOLATILE_TRANSITION,466,0.008773,0.3166,0.012342,0.3014,,0.6861,0.5
