label,n_days,mean_fwd_20d,neg_rate_fwd_20d,uncond_mean_20d,uncond_neg_rate,hit_rate_sign_match,conditional_sharpe,size_mult
BEAR_TREND,404,0.029855,0.146,0.01233,0.3015,0.146,2.4248,0.5
BULL_TREND,108,0.012836,0.2685,0.01233,0.3015,0.7315,1.2944,1.0
CRISIS,51,0.061493,0.1569,0.01233,0.3015,,2.34,0.0
RANGE_LOW_VOL,43,-0.013783,0.6744,0.01233,0.3015,,-1.7062,0.75
VOLATILE_TRANSITION,1763,0.007403,0.3349,0.01233,0.3015,,0.6122,0.5
