label,n_days,mean_fwd_20d,neg_rate_fwd_20d,uncond_mean_20d,uncond_neg_rate,hit_rate_sign_match,conditional_sharpe,size_mult
BEAR_TREND,348,0.027685,0.2443,0.012342,0.3014,0.2443,1.7975,0.5
BULL_TREND,578,0.007278,0.3,0.012342,0.3014,0.6782,0.5297,1.0
CRISIS,51,0.061493,0.1569,0.012342,0.3014,,2.34,0.0
RANGE_LOW_VOL,789,0.007633,0.3291,0.012342,0.3014,,0.9463,0.75
VOLATILE_TRANSITION,604,0.010105,0.3121,0.012342,0.3014,,0.801,0.5
