year,n_days,n_bull,n_bear,n_transition,n_crisis,uncond_mean_20d,strategy_year_ret,spy_year_ret,delta_pp
2017,251,0,0,58,0,0.017976,0.135707,0.216459,-8.08
2018,251,38,79,76,3,-0.003234,-0.083114,-0.051486,-3.16
2019,252,79,26,73,0,0.020513,0.219726,0.323134,-10.34
2020,253,88,100,10,39,0.016827,0.108367,0.156392,-4.8
2021,252,93,0,52,0,0.016428,0.191076,0.312611,-12.15
2022,251,66,60,121,3,-0.008402,-0.089517,-0.189889,10.04
2023,250,95,50,11,0,0.017369,0.190262,0.260001,-6.97
2024,252,50,0,80,1,0.018935,0.133273,0.252807,-11.95
2025,250,43,31,77,5,0.01369,0.04568,0.182253,-13.66
2026,108,26,2,46,0,0.015352,0.029429,0.026741,0.27
