label,n_days,mean_fwd_5d,mean_fwd_20d,std_fwd_20d,hit_rate_sign_match,conditional_sharpe,size_mult
BEAR_TREND,519,0.003577,0.015624,0.037383,0.2505,1.4835,0.5
BULL_TREND,37,0.009237,0.009822,0.040835,0.6216,0.8538,1.0
CRISIS,6,0.034179,0.09802,0.02418,,14.3898,0.0
VOLATILE_TRANSITION,47,0.005278,0.016282,0.028307,,2.0417,0.5
