as_of,label,confidence,size_mult,degradation_level,crisis,needs_llm_review,fwd_1d_ret,fwd_5d_ret,fwd_20d_ret
2024-01-02,BEAR_TREND,0.972,0.5,0,0,0,-0.008166726287654136,0.002602403026552347,0.021643944347612187
2024-01-03,BEAR_TREND,0.9944,0.5,0,0,0,-0.0032210928571738684,0.016574631460622324,0.04353756330730074
2024-01-04,BEAR_TREND,0.9957,0.5,0,0,0,0.0013697729258461688,0.0194101494187926,0.05793102013590401
2024-01-05,BEAR_TREND,0.9974,0.5,0,0,0,0.014275755936543177,0.018720959282548355,0.0526371129311638
2024-01-08,BEAR_TREND,0.9862,0.5,0,0,0,-0.001516929732635397,0.0006953337909427759,0.04083440847768083
2024-01-09,BEAR_TREND,0.9946,0.5,0,0,0,0.0056554239754880165,-0.003355298342043511,0.05110996943003343
2024-01-10,BEAR_TREND,0.9985,0.5,0,0,0,-0.0004407908468159194,-0.00014686448277256847,0.045660575650868784
2024-01-11,BEAR_TREND,0.9991,0.5,0,0,0,0.0006927793029878337,0.012763885949462761,0.05216771657663988
2024-01-12,BEAR_TREND,0.9971,0.5,0,0,0,-0.00367121448272012,0.014202471609890965,0.05097776806236798
2024-01-16,BEAR_TREND,0.9999,0.5,0,0,0,-0.005558607026508677,0.020908441279806178,0.040321738822124864
2024-01-17,BEAR_TREND,1.0,0.5,0,0,0,0.008892865470611522,0.027737122275638848,0.05564368305121059
2024-01-18,BEAR_TREND,1.0,0.5,0,0,0,0.01246616421808322,0.024218693856556284,0.053558196228713495
2024-01-19,BEAR_TREND,1.0,0.5,0,0,0,0.002114218498017628,0.01032266677915783,0.035404173746939493
2024-01-22,BEAR_TREND,0.9998,0.5,0,0,0,0.0029165732657525645,0.016175416775634277,0.027531346384554123
2024-01-23,BEAR_TREND,0.9996,0.5,0,0,0,0.0010930404347999634,0.012436641359211853,0.025471250404368817
2024-01-24,BEAR_TREND,1.0,0.5,0,0,0,0.005438949821616301,-0.0051710432174634224,0.045551035174450805
2024-01-25,BEAR_TREND,0.9999,0.5,0,0,0,-0.0012704111025140241,0.002397345167201248,0.04061222609411086
2024-01-26,BEAR_TREND,0.9997,0.5,0,0,0,0.007919417353429603,0.01423850726860687,0.038119831746559196
2024-01-29,BEAR_TREND,0.9993,0.5,0,0,0,-0.000773419393926944,0.002605511237113056,0.031876598085722074
2024-01-30,BEAR_TREND,0.9882,0.5,0,0,0,-0.016317363108296012,0.006294541809046983,0.03131045718358605
2024-01-31,BEAR_TREND,0.9961,0.5,0,0,0,0.013088056150336369,0.03151923625277142,0.052186826731802416
2024-02-01,BEAR_TREND,0.9937,0.5,0,0,0,0.010527424371234773,0.018642789394399895,0.04834425875070214
2024-02-02,BEAR_TREND,0.995,0.5,0,0,0,-0.0036411007082581826,0.01385669647084975,0.03631034113324261
2024-02-05,BEAR_TREND,0.9976,0.5,0,0,0,0.002903178592849054,0.01711507879842422,0.02970247989971231
2024-02-06,BEAR_TREND,0.9907,0.5,0,0,0,0.008340520755987901,0.00020243489375770807,0.03192447153479083
2024-02-07,BEAR_TREND,0.9974,0.5,0,0,0,0.00044168557438917233,0.0009434922610278562,0.033547265864938725
2024-02-08,BEAR_TREND,0.9776,0.5,0,0,0,0.005779461488473858,0.007404783615816868,0.026890211752497395
2024-02-09,BEAR_TREND,0.9816,0.5,0,0,0,-0.0004389536586061338,-0.003371859817120848,0.020111660401024967
2024-02-12,BEAR_TREND,0.9749,0.5,0,0,0,-0.013773149075439028,-0.008423524427957685,0.031538174192412116
2024-02-13,BEAR_TREND,0.9946,0.5,0,0,0,0.009087607691146804,0.0063350757361990695,0.04430465787811211
2024-02-14,BEAR_TREND,0.9931,0.5,0,0,0,0.006899737666191452,0.017911279473244557,0.032853991832494156
2024-02-15,BEAR_TREND,0.9881,0.5,0,0,0,-0.004979795172716295,0.011633243266895299,0.018732807251388373
2024-02-16,BEAR_TREND,0.9917,0.5,0,0,0,-0.005505484454382592,0.012972541003931859,0.029916061764379664
2024-02-20,BEAR_TREND,0.9943,0.5,0,0,0,0.0009058274054767335,0.020472646221689983,0.041372767230131835
2024-02-21,BEAR_TREND,0.9798,0.5,0,0,0,0.020695474709609307,0.01820162686945581,0.05005360672341852
2024-02-22,BEAR_TREND,0.9885,0.5,0,0,0,0.0006896158837674804,0.0011428308741299187,0.03216244658736245
2024-02-23,BEAR_TREND,0.9782,0.5,0,0,0,-0.003662491379567423,0.009845430835774494,0.029495725765864345
