as_of,label,confidence,size_mult,degradation_level,crisis,needs_llm_review,fwd_1d_ret,fwd_5d_ret,fwd_20d_ret
2021-04-07,BULL_TREND,0.9919,1.0,0,0,0,0.004746943144287918,0.01195314502160838,0.022528873708200114
2021-04-08,BULL_TREND,0.9961,1.0,0,0,0,0.007269815309643102,0.017991777107200457,0.025824752756535174
2021-04-09,BULL_TREND,0.9946,1.0,0,0,0,0.0003645517530088682,0.014022815492504836,0.02583322825307044
2021-04-12,BULL_TREND,0.9823,1.0,0,0,0,0.0029638504544202693,0.008672788893661298,0.015304720800429328
2021-04-13,BULL_TREND,0.9907,1.0,0,0,0,-0.0034150666876234803,-0.0016714049124216812,0.0032699989664031204
2021-04-14,BULL_TREND,0.9872,1.0,0,0,0,0.010742573632339658,0.011228266229108774,-0.014679891969133219
2021-04-15,BULL_TREND,0.9442,1.0,0,0,0,0.003342656640477726,-0.00865677671699494,-0.013441810440160351
2021-04-16,BULL_TREND,0.9911,1.0,0,0,0,-0.004913413277609635,-0.0012466577317643557,-0.0016302085841617409
2021-04-19,BULL_TREND,0.8535,1.0,0,0,0,-0.007321796748351317,0.005780096636605059,0.0007464154744478702
2021-04-20,BULL_TREND,0.6596,1.0,0,0,0,0.0094620741331366,0.01298028698881959,-0.0005580148781239025
2021-04-21,BULL_TREND,0.9847,1.0,0,0,0,-0.009132918534313306,0.003196709963006139,-0.012521795482025588
2021-04-22,BEAR_TREND,0.8076,0.5,0,0,1,0.010842469312865033,0.01889538282030867,0.007301095842011218
2021-04-23,BEAR_TREND,0.5964,0.366,0,0,1,0.002087543539493808,0.0013438684043916016,-0.0043191961879297525
2021-04-26,BULL_TREND,0.9367,1.0,0,0,1,-0.00021540038416845153,0.0014130515576038505,0.0037355887910430763
2021-04-27,BULL_TREND,0.9696,1.0,0,0,0,-0.00028752325170167126,-0.004550677616549481,0.0017245134388952366
2021-04-28,BULL_TREND,0.9932,1.0,0,0,0,0.006372812298449881,-0.003952898694523976,0.004001041769166935
2021-04-29,VOLATILE_TRANSITION,0.5348,0.25,0,0,1,-0.006570325436735636,-0.0023567513950086827,-0.0018326312913855558
2021-04-30,VOLATILE_TRANSITION,0.6132,0.408,0,0,1,0.0021567780734479403,0.011550448992727391,0.0065660170232393344
2021-05-03,BULL_TREND,0.7799,1.0,0,0,1,-0.00616943161566097,-0.0006219279610525374,0.0035151430864039934
2021-05-04,BEAR_TREND,0.91,0.5,0,0,1,0.00031281574421537783,-0.0033924666987630303,0.011332436264677392
2021-05-05,BEAR_TREND,0.7672,0.5,0,0,0,0.007985506361361638,-0.0248707808524834,0.007264030986660508
2021-05-06,VOLATILE_TRANSITION,0.5257,0.25,0,0,1,0.007278137502890747,-0.020974955116878413,0.008423586885349499
2021-05-07,BULL_TREND,0.9692,1.0,0,0,1,-0.009902561212736694,-0.013124434935536167,0.00016572644068224562
2021-05-10,BULL_TREND,0.7604,1.0,0,0,0,-0.008924591214882427,-0.00579042213439962,0.010384451506729508
2021-05-11,BEAR_TREND,0.9977,0.5,0,0,1,-0.02124535253229598,-0.005480564647407538,0.017961951900149487
2021-05-12,BEAR_TREND,1.0,0.5,0,0,0,0.012012599181154826,0.013443108036584217,0.04489278356680759
2021-05-13,BEAR_TREND,1.0,0.5,0,0,0,0.015355211105880562,0.012186737423007132,0.034196022002595194
2021-05-14,BEAR_TREND,0.9984,0.5,0,0,0,-0.002544604903458869,-0.003936678383102077,0.020836550823427835
2021-05-17,BEAR_TREND,0.9819,0.5,0,0,0,-0.008615710529740528,0.008784305276016813,0.021563535409811152
2021-05-18,BEAR_TREND,0.9996,0.5,0,0,0,-0.002621651548465498,0.015293734116370583,0.024688355653699645
2021-05-19,BEAR_TREND,1.0,0.5,0,0,0,0.010758001976735265,0.019982554849316214,0.027041017417475555
2021-05-20,BEAR_TREND,0.9949,0.5,0,0,0,-0.0008186762355402166,0.009656524208347061,0.002401974831193865
2021-05-21,BEAR_TREND,0.9834,0.5,0,0,0,0.010194157288011096,0.012290992687141067,0.0175853682025795
2021-05-24,BEAR_TREND,0.8749,0.5,0,0,0,-0.0022185595709085515,0.001193115940842926,0.012702015513157638
