label,n_days,mean_fwd_20d,neg_rate_fwd_20d,uncond_mean_20d,uncond_neg_rate,hit_rate_sign_match,conditional_sharpe,size_mult
BEAR_TREND,146,0.038196,0.2397,0.012342,0.3014,0.2397,2.8576,0.5
BULL_TREND,417,0.010526,0.2711,0.012342,0.3014,0.7026,0.8066,1.0
CRISIS,51,0.061493,0.1569,0.012342,0.3014,,2.34,0.0
RANGE_LOW_VOL,1059,0.008431,0.2971,0.012342,0.3014,,0.9697,0.75
VOLATILE_TRANSITION,697,0.010238,0.3493,0.012342,0.3014,,0.671,0.5
