seed,cum_strategy_ret,cum_spy_ret,strategy_sharpe,spy_sharpe,max_drawdown,avg_size_mult
42,0.845764,2.618353,0.818,0.8409,-0.130401,0.531
7,0.811018,2.618353,0.7907,0.8409,-0.130401,0.5311
99,0.821805,2.618353,0.7987,0.8409,-0.130401,0.5311
123,0.823714,2.618353,0.7998,0.8409,-0.130401,0.5322
2026,0.779687,2.618353,0.7931,0.8409,-0.130401,0.5122
