year,n_days,n_bull,n_bear,n_transition,n_crisis,uncond_mean_20d,strategy_year_ret,spy_year_ret,delta_pp
2017,251,0,0,26,0,0.017976,0.143197,0.216459,-7.33
2018,251,38,79,76,3,-0.003234,-0.083114,-0.051486,-3.16
2019,252,116,29,32,0,0.020513,0.280709,0.323134,-4.24
2020,253,88,100,10,39,0.016827,0.108365,0.156392,-4.8
2021,252,93,0,52,0,0.016428,0.191079,0.312611,-12.15
2022,251,49,121,78,3,-0.008402,-0.132351,-0.189889,5.75
2023,250,109,0,102,0,0.017369,0.191369,0.260001,-6.86
2024,252,39,29,18,1,0.018935,0.18837,0.252807,-6.44
2025,250,43,31,77,5,0.01369,0.045678,0.182253,-13.66
2026,108,26,2,46,0,0.015352,0.029428,0.026741,0.27
