label,n_days,mean_fwd_20d,neg_rate_fwd_20d,uncond_mean_20d,uncond_neg_rate,hit_rate_sign_match,conditional_sharpe,size_mult
BEAR_TREND,436,0.024242,0.2821,0.012342,0.3014,0.2821,1.5601,0.5
BULL_TREND,587,0.007249,0.297,0.012342,0.3014,0.6814,0.5378,1.0
CRISIS,51,0.061493,0.1569,0.012342,0.3014,,2.34,0.0
RANGE_LOW_VOL,863,0.009131,0.3041,0.012342,0.3014,,1.1571,0.75
VOLATILE_TRANSITION,433,0.007511,0.3388,0.012342,0.3014,,0.5702,0.5
